Month,monthly bus ridership,Level ,Residual ,Residual Square ,RMSE,Mean of Residual Square ,72736.79077,,,,,
1964-10,1222,1120.544,101.456,10293.31994,,,,,,,,
1964-11,1234,1120.544,113.456,12872.26394,,,,,,,,
1964-12,1155,1120.544,34.456,1187.215936,,,,,,,,
1965-01,1286,1120.544,165.456,27375.68794,,,,,,,,
1965-02,1281,1120.544,160.456,25746.12794,,,,,,,,
1965-03,1224,1120.544,103.456,10703.14394,,,,,,,,
1965-04,1280,1120.544,159.456,25426.21594,,,,,,,,
1965-05,1228,1120.544,107.456,11546.79194,,,,,,,,
1965-06,1181,1120.544,60.456,3654.927936,,,,,,,,
1965-07,1156,1120.544,35.456,1257.127936,,,,,,,,
1965-08,1124,1120.544,3.456,11.943936,,,,,,,,
1965-09,1152,1120.544,31.456,989.479936,,,,,,,,
1965-10,1205,1120.544,84.456,7132.815936,,,,,,,,
1965-11,1260,1120.544,139.456,19447.97594,,,,,,,,
1965-12,1188,1120.544,67.456,4550.311936,,,,,,,,
1966-01,1212,1120.544,91.456,8364.199936,,,,,,,,
1966-02,1269,1120.544,148.456,22039.18394,,,,,,,,
1966-03,1246,1120.544,125.456,15739.20794,,,,,,,,
1966-04,1299,1120.544,178.456,31846.54394,,,,,,,,
1966-05,1284,1120.544,163.456,26717.86394,,,,,,,,
1966-06,1345,1120.544,224.456,50380.49594,,,,,,,,
1966-07,1341,1120.544,220.456,48600.84794,,,,,,,,
1966-08,1308,1120.544,187.456,35139.75194,,,,,,,,
1966-09,1448,1120.544,327.456,107227.4319,,,,,,,,
1966-10,1454,1120.544,333.456,111192.9039,,,,,,,,
1966-11,1467,1120.544,346.456,120031.7599,,,,,,,,
1966-12,1431,1120.544,310.456,96382.92794,,,,,,,,
1967-01,1510,1120.544,389.456,151675.9759,,,,,,,,
1967-02,1558,1120.544,437.456,191367.7519,,,,,,,,
1967-03,1536,1120.544,415.456,172603.6879,,,,,,,,
1967-04,1523,1120.544,402.456,161970.8319,,,,,,,,
1967-05,1492,1120.544,371.456,137979.5599,,,,,,,,
1967-06,1437,1120.544,316.456,100144.3999,,,,,,,,
1967-07,1365,1120.544,244.456,59758.73594,,,,,,,,
1967-08,1310,1120.544,189.456,35893.57594,,,,,,,,
1967-09,1441,1120.544,320.456,102692.0479,,,,,,,,
1967-10,1450,1120.544,329.456,108541.2559,,,,,,,,
1967-11,1424,1120.544,303.456,92085.54394,,,,,,,,
1967-12,1360,1120.544,239.456,57339.17594,,,,,,,,
1968-01,1429,1120.544,308.456,95145.10394,,,,,,,,
1968-02,1440,1120.544,319.456,102052.1359,,,,,,,,
1968-03,1414,1120.544,293.456,86116.42394,,,,,,,,
1968-04,1424,1120.544,303.456,92085.54394,,,,,,,,
1968-05,1408,1120.544,287.456,82630.95194,,,,,,,,
1968-06,1337,1120.544,216.456,46853.19994,,,,,,,,
1968-07,1258,1120.544,137.456,18894.15194,,,,,,,,
1968-08,1214,1120.544,93.456,8734.023936,,,,,,,,
1968-09,1326,1120.544,205.456,42212.16794,,,,,,,,
1968-10,1417,1120.544,296.456,87886.15994,,,,,,,,
1968-11,1417,1120.544,296.456,87886.15994,,,,,,,,
1968-12,1329,1120.544,208.456,43453.90394,,,,,,,,
1969-01,1461,1120.544,340.456,115910.2879,,,,,,,,
1969-02,1425,1120.544,304.456,92693.45594,,,,,,,,
1969-03,1419,1120.544,298.456,89075.98394,,,,,,,,
1969-04,1432,1120.544,311.456,97004.83994,,,,,,,,
1969-05,1394,1120.544,273.456,74778.18394,,,,,,,,
1969-06,1327,1120.544,206.456,42624.07994,,,,,,,,
